Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 87.0.4280.141,,2021-01-26 16:24:22,2021-01-26 16:25:09,46.636s,PASSED
,,,,,,
Test Cases/Test 1,Chrome 87.0.4280.141,,2021-01-26 16:24:23,2021-01-26 16:24:38,15.232s,PASSED
"openBrowser("""")",Chrome 87.0.4280.141,,2021-01-26 16:24:24,2021-01-26 16:24:30,6.281s,PASSED
"navigateToUrl(""https://the-internet.herokuapp.com/"")",Chrome 87.0.4280.141,,2021-01-26 16:24:30,2021-01-26 16:24:37,6.728s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/the-internet/a-b testing page/a_AB Testing""), 5)",Chrome 87.0.4280.141,,2021-01-26 16:24:37,2021-01-26 16:24:37,0.094s,PASSED
"click(findTestObject(""Object Repository/the-internet/a-b testing page/a_AB Testing""))",Chrome 87.0.4280.141,,2021-01-26 16:24:37,2021-01-26 16:24:37,0.577s,PASSED
closeBrowser(),Chrome 87.0.4280.141,,2021-01-26 16:24:37,2021-01-26 16:24:38,0.627s,PASSED
,,,,,,
Test Cases/Test 2,Chrome 87.0.4280.141,,2021-01-26 16:24:38,2021-01-26 16:25:09,30.667s,PASSED
"openBrowser("""")",Chrome 87.0.4280.141,,2021-01-26 16:24:39,2021-01-26 16:24:42,3.376s,PASSED
"navigateToUrl(""https://the-internet.herokuapp.com/"")",Chrome 87.0.4280.141,,2021-01-26 16:24:42,2021-01-26 16:25:07,24.696s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/the-internet/add-remove elements/a_AddRemove Elements""), 5)",Chrome 87.0.4280.141,,2021-01-26 16:25:07,2021-01-26 16:25:07,0.070s,PASSED
"click(findTestObject(""Object Repository/the-internet/add-remove elements/a_AddRemove Elements""))",Chrome 87.0.4280.141,,2021-01-26 16:25:07,2021-01-26 16:25:08,1.001s,PASSED
"click(findTestObject(""Object Repository/the-internet/add-remove elements/button_Add Element""))",Chrome 87.0.4280.141,,2021-01-26 16:25:08,2021-01-26 16:25:08,0.138s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/the-internet/add-remove elements/button_Delete""), 0)",Chrome 87.0.4280.141,,2021-01-26 16:25:08,2021-01-26 16:25:08,0.071s,PASSED
"click(findTestObject(""Object Repository/the-internet/add-remove elements/button_Delete""))",Chrome 87.0.4280.141,,2021-01-26 16:25:08,2021-01-26 16:25:08,0.140s,PASSED
closeBrowser(),Chrome 87.0.4280.141,,2021-01-26 16:25:08,2021-01-26 16:25:09,0.666s,PASSED
