Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 87.0.4280.141,,2021-01-26 16:29:09,2021-01-26 16:29:42,32.926s,PASSED
,,,,,,
Test Cases/Test 1,Chrome 87.0.4280.141,,2021-01-26 16:29:09,2021-01-26 16:29:30,20.147s,PASSED
"openBrowser("""")",Chrome 87.0.4280.141,,2021-01-26 16:29:10,2021-01-26 16:29:16,6.320s,PASSED
"navigateToUrl(""https://the-internet.herokuapp.com/"")",Chrome 87.0.4280.141,,2021-01-26 16:29:16,2021-01-26 16:29:28,11.807s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/the-internet/a-b testing page/a_AB Testing""), 5)",Chrome 87.0.4280.141,,2021-01-26 16:29:28,2021-01-26 16:29:28,0.136s,PASSED
"click(findTestObject(""Object Repository/the-internet/a-b testing page/a_AB Testing""))",Chrome 87.0.4280.141,,2021-01-26 16:29:28,2021-01-26 16:29:29,0.767s,PASSED
closeBrowser(),Chrome 87.0.4280.141,,2021-01-26 16:29:29,2021-01-26 16:29:30,0.671s,PASSED
,,,,,,
Test Cases/Test 2,Chrome 87.0.4280.141,,2021-01-26 16:29:30,2021-01-26 16:29:42,12.215s,PASSED
"openBrowser("""")",Chrome 87.0.4280.141,,2021-01-26 16:29:30,2021-01-26 16:29:33,3.407s,PASSED
"navigateToUrl(""https://the-internet.herokuapp.com/"")",Chrome 87.0.4280.141,,2021-01-26 16:29:33,2021-01-26 16:29:40,6.286s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/the-internet/add-remove elements/a_AddRemove Elements""), 5)",Chrome 87.0.4280.141,,2021-01-26 16:29:40,2021-01-26 16:29:40,0.066s,PASSED
"click(findTestObject(""Object Repository/the-internet/add-remove elements/a_AddRemove Elements""))",Chrome 87.0.4280.141,,2021-01-26 16:29:40,2021-01-26 16:29:41,1.002s,PASSED
"click(findTestObject(""Object Repository/the-internet/add-remove elements/button_Add Element""))",Chrome 87.0.4280.141,,2021-01-26 16:29:41,2021-01-26 16:29:41,0.164s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/the-internet/add-remove elements/button_Delete""), 0)",Chrome 87.0.4280.141,,2021-01-26 16:29:41,2021-01-26 16:29:41,0.068s,PASSED
"click(findTestObject(""Object Repository/the-internet/add-remove elements/button_Delete""))",Chrome 87.0.4280.141,,2021-01-26 16:29:41,2021-01-26 16:29:41,0.076s,PASSED
closeBrowser(),Chrome 87.0.4280.141,,2021-01-26 16:29:41,2021-01-26 16:29:42,0.680s,PASSED
