Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 87.0.4280.141,,2021-01-25 18:56:53,2021-01-25 18:57:08,14.585s,PASSED
,,,,,,
Test Cases/Test 1,Chrome 87.0.4280.141,,2021-01-25 18:56:54,2021-01-25 18:57:07,13.900s,PASSED
"openBrowser("""")",Chrome 87.0.4280.141,,2021-01-25 18:56:54,2021-01-25 18:57:01,6.564s,PASSED
"navigateToUrl(""lifecharger.org"")",Chrome 87.0.4280.141,,2021-01-25 18:57:01,2021-01-25 18:57:07,6.234s,PASSED
closeBrowser(),Chrome 87.0.4280.141,,2021-01-25 18:57:07,2021-01-25 18:57:07,0.694s,PASSED
